VARIABLE,REGION,TECHNOLOGY,YEAR,VALUE
UndiscountedFOM,CHIOS,Batteries_New,2023,0.0
UndiscountedFOM,CHIOS,Batteries_New,2025,0.0
UndiscountedFOM,CHIOS,Batteries_New,2030,0.0
UndiscountedFOM,CHIOS,Batteries_New,2035,0.0
UndiscountedFOM,CHIOS,Batteries_New,2040,0.0
UndiscountedFOM,CHIOS,Batteries_New,2045,0.0
UndiscountedFOM,CHIOS,Batteries_New,2050,0.0
UndiscountedFOM,CHIOS,Chios,2023,2.87118
UndiscountedFOM,CHIOS,Chios,2025,2.87118
UndiscountedFOM,CHIOS,Chios,2030,2.87118
UndiscountedFOM,CHIOS,Chios,2035,2.87118
UndiscountedFOM,CHIOS,Chios,2040,2.87118
UndiscountedFOM,CHIOS,Chios,2045,2.87118
UndiscountedFOM,CHIOS,Chios,2050,2.87118
UndiscountedFOM,CHIOS,Elec_Network,2023,0.0
UndiscountedFOM,CHIOS,Elec_Network,2025,0.0
UndiscountedFOM,CHIOS,Elec_Network,2030,0.0
UndiscountedFOM,CHIOS,Elec_Network,2035,0.0
UndiscountedFOM,CHIOS,Elec_Network,2040,0.0
UndiscountedFOM,CHIOS,Elec_Network,2045,0.0
UndiscountedFOM,CHIOS,Elec_Network,2050,0.0
UndiscountedFOM,CHIOS,OffshoreWind,2023,0.0
UndiscountedFOM,CHIOS,OffshoreWind,2025,0.0
UndiscountedFOM,CHIOS,OffshoreWind,2030,0.0
UndiscountedFOM,CHIOS,OffshoreWind,2035,0.0
UndiscountedFOM,CHIOS,OffshoreWind,2040,0.0
UndiscountedFOM,CHIOS,OffshoreWind,2045,0.0
UndiscountedFOM,CHIOS,OffshoreWind,2050,0.0
UndiscountedFOM,CHIOS,OilImports,2023,0.0
UndiscountedFOM,CHIOS,OilImports,2025,0.0
UndiscountedFOM,CHIOS,OilImports,2030,0.0
UndiscountedFOM,CHIOS,OilImports,2035,0.0
UndiscountedFOM,CHIOS,OilImports,2040,0.0
UndiscountedFOM,CHIOS,OilImports,2045,0.0
UndiscountedFOM,CHIOS,OilImports,2050,0.0
UndiscountedFOM,CHIOS,PV,2023,0.0
UndiscountedFOM,CHIOS,PV,2025,0.0
UndiscountedFOM,CHIOS,PV,2030,1.150695926856517
UndiscountedFOM,CHIOS,PV,2035,1.6982806312542624
UndiscountedFOM,CHIOS,PV,2040,1.7852367195414063
UndiscountedFOM,CHIOS,PV,2045,1.7165779302504183
UndiscountedFOM,CHIOS,PV,2050,1.712430583523648
UndiscountedFOM,CHIOS,PV_Ex,2023,0.07238
UndiscountedFOM,CHIOS,PV_Ex,2025,0.07238
